screen_name;neademokratia;syriza_gr;kinimallagis;ellinikilisi;mera25_gr;kmitsotakis;atsipras;FofiGennimata;velopky;yanisvaroufakis
evefthym;3.0;3.0;2.0;4.0;-1.0;4.0;4.0;4.0;4.0;4.0
Qdv6zNFe0nkBH2m;3.0;3.0;2.0;3.0;2.0;1.0;1.0;3.0;2.0;3.0
michail_pana;3.0;3.0;2.0;2.0;2.0;3.0;3.0;2.0;2.0;3.0
spirtzisforever;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
FdZwMqKWXciTydT;3.0;3.0;3.0;3.0;3.0;3.0;5.0;3.0;3.0;5.0
R7xLvX35rnq6jHD;3.0;3.0;3.0;3.0;3.0;3.0;3.0;2.0;2.0;3.0
Kbitzenis;3.0;2.0;2.0;2.0;2.0;1.0;1.0;3.0;2.0;1.0
contagaras;1.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;3.0
_varemenos;3.0;3.0;2.0;2.0;2.0;3.0;1.0;3.0;2.0;1.0
Geo_Psychogios;2.0;2.0;2.0;2.0;2.0;1.0;1.0;2.0;2.0;1.0
IwannaPapakosta;2.0;3.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0
scand461;2.0;3.0;2.0;2.0;2.0;3.0;3.0;1.0;2.0;3.0
ASMForchestra;4.0;4.0;-1.0;4.0;-1.0;4.0;4.0;4.0;4.0;3.0
kokath1;1.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0
ArdimasGreek;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
kostis_8;1.0;1.0;2.0;2.0;2.0;1.0;1.0;2.0;2.0;1.0
TassYpsi;4.0;4.0;-1.0;3.0;-1.0;1.0;3.0;3.0;3.0;4.0
Cattaneomadness;2.0;2.0;2.0;2.0;2.0;3.0;3.0;3.0;3.0;1.0
vasileiadistheo;4.0;4.0;2.0;2.0;2.0;3.0;3.0;2.0;3.0;-1.0
Re9ioxGFl3JAlq8;1.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0
gigilonis13;2.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;2.0;1.0
PerkaMirsin;3.0;4.0;3.0;3.0;3.0;3.0;4.0;3.0;3.0;1.0
TheZuluPope;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
mdragasakis;5.0;4.0;-1.0;3.0;-1.0;4.0;4.0;5.0;3.0;3.0
znqavLFucjg1pAW;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
NTsK45AaPmM9U5P;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
32Giannakis;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
okalantaksei;3.0;3.0;2.0;2.0;2.0;-1.0;1.0;2.0;2.0;1.0
magkakos_;3.0;3.0;2.0;2.0;2.0;4.0;2.0;3.0;4.0;4.0
vasiliadisg;3.0;3.0;2.0;2.0;2.0;4.0;2.0;2.0;2.0;1.0
StylianidesEU;1.0;2.0;2.0;2.0;2.0;1.0;1.0;2.0;2.0;2.0
QUKCyT1PGeA7XVx;1.0;4.0;2.0;2.0;2.0;1.0;1.0;2.0;2.0;4.0
gevardakis;2.0;2.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0
AlexandraOikon;2.0;3.0;2.0;2.0;3.0;3.0;3.0;3.0;1.0;3.0
UKgOpsbs5j5jRya;4.0;-1.0;-1.0;-1.0;-1.0;4.0;4.0;5.0;-1.0;-1.0
ypizgbKtHYwKTzy;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
eleni_336;3.0;2.0;2.0;2.0;2.0;3.0;3.0;2.0;2.0;3.0
HtaHYlbwj3faSI5;3.0;3.0;2.0;1.0;3.0;3.0;3.0;2.0;1.0;3.0
P6JBcKHrkvXQnN4;4.0;5.0;-1.0;4.0;4.0;4.0;4.0;4.0;-1.0;1.0
dimitrisxioy;3.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;1.0
Eliamarkopoulos;4.0;4.0;-1.0;4.0;-1.0;5.0;3.0;4.0;4.0;3.0
Constantine_Zr;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
J_95_L;-1.0;5.0;-1.0;-1.0;-1.0;4.0;4.0;4.0;5.0;4.0
