poi,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10
Hotel Matoula,https://www.facebook.com/matoulabeachhotel/,https://www.facebook.com/pansionmatoula/,https://www.facebook.com/Storgi-Matoula-Giannouli-557734917669202/,https://www.facebook.com/HotelDelfini/,https://www.facebook.com/Eurostar-Rent-A-Car-894358154005951/,https://www.facebook.com/EvoraSuitesCreta/,https://www.facebook.com/pages/category/Local-Business/Matoula-Mihalis-490082184676618/,https://www.facebook.com/byannakouloumvaki/,,
Hotel Acharavi Beach,https://www.facebook.com/AcharaviBeachHotelCorfu/,https://www.facebook.com/pages/category/Hotel/Charis-Acharavi-beach-apartment-105451278489620/,https://www.facebook.com/AcharaviAphrodite/,https://www.facebook.com/vlachosaparts/,,,,,,
Hotel Kathrin Beach,https://www.facebook.com/katrinhotel/,https://www.facebook.com/beautifulmiamirealty/,,,,,,,,
Aelia Resort,https://www.facebook.com/aeliawellnessretreat/,https://www.facebook.com/AeliaResortRhodes/,https://www.facebook.com/pages/category/Hotel/Aelia-resort-101709828807148/,https://www.facebook.com/aeliamykonos/,https://www.facebook.com/Aelia-Sivota-Apartments-1629135780701050/,,,,,
Hotel Alexander House,https://www.facebook.com/AHSpa/,https://www.facebook.com/AlexanderHotels/,https://www.facebook.com/alexanderhousehotel/,https://www.facebook.com/AlexanderHouseApartments/,https://www.facebook.com/alexanderoakridge/,,,,,
Mayor La Grotta Verde Grand Resort,https://www.facebook.com/marblecitytravel.ie/,,,,,,,,,
Mayor Capo Di Corfu,https://www.facebook.com/MayorCapoDiCorfu/,https://www.facebook.com/mayorhotelsresorts/,,,,,,,,
smartline Neptuno Beach,https://www.facebook.com/ZeushotelsNeptunobeach/,https://www.facebook.com/cosmopolitankos/,https://www.facebook.com/ZeushotelsCosmopolitan/,https://www.facebook.com/zeushotels/,https://www.facebook.com/enormelifestyle/,https://www.facebook.com/IkarosBeachResortSpa/,https://www.facebook.com/lyttosbeach/,https://www.facebook.com/SentidoPearlBeach/,https://www.facebook.com/esperidesbeachfamilyresort/,https://www.facebook.com/MaliaBayBeachHotel/
TUI MAGIC LIFE Candia Maris,https://www.facebook.com/CandiaMarisResort/,https://www.facebook.com/CandiaMarisResort/?hc_ref=PAGES_TIMELINE&rf=193514354024641,,,,,,,,
Apollonia Beach Resort & Spa,https://www.facebook.com/pages/category/Beach-Resort/Santa-Marina-Resort-536778169705089/,https://www.facebook.com/theroyalapollonia/,,,,,,,,
