Hotel City;Hotelname;Account;Results;Found;Place
Acharavi;Hotel Matoula;FALSE;TRUE;FALSE;-1
Acharavi;Hotel Acharavi Beach;TRUE;TRUE;TRUE;1
Adelianos Kampos;Hotel Kathrin Beach;TRUE;TRUE;FALSE;-1
Afandou;Aelia Resort;FALSE;TRUE;FALSE;-1
Agia Pelagia;Hotel Alexander House;TRUE;TRUE;TRUE;3
Agios Gordios;Mayor La Grotta Verde Grand Resort;TRUE;TRUE;FALSE;-1
Agios Petros;Mayor Capo Di Corfu;TRUE;TRUE;TRUE;1
Amoudara;smartline Neptuno Beach;TRUE;TRUE;FALSE;-1
Amoudara;TUI MAGIC LIFE Candia Maris;TRUE;TRUE;TRUE;1
Amoudara;Apollonia Beach Resort & Spa;TRUE;TRUE;FALSE;-1
Analipsi;Lyttos Beach Hotel;TRUE;TRUE;TRUE;1
Analipsi;INSULA ALBA Resort & Spa;TRUE;TRUE;TRUE;1
Analipsi;Stella Island Resort & Spa;TRUE;TRUE;TRUE;1
Anissaras;Hotel Anissa Beach & Village;TRUE;TRUE;TRUE;1
Anissaras;Annabelle Beach Resort;TRUE;TRUE;TRUE;1
Rhodos;Porto Angeli Beach Resort Hotel;TRUE;TRUE;TRUE;1
Bali;Hotel Bali Blue Bay;FALSE;TRUE;FALSE;-1
Faliraki;Hotel Calypso Palace;FALSE;TRUE;FALSE;-1
Faliraki;Blue Sea Beach Resort;TRUE;TRUE;TRUE;1
Faliraki;Elysium Resort & Spa Hotel;TRUE;TRUE;TRUE;1
Faliraki;Hotel Mitsis Faliraki Beach;TRUE;TRUE;FALSE;-1
Faliraki;Hotel Castello Di Cavalieri Suites;FALSE;TRUE;FALSE;-1
Georgioupolis;Georgioupolis Resort Aquapark & SPA;TRUE;TRUE;TRUE;1
Georgioupolis;Hotel Corissia Beach;TRUE;TRUE;TRUE;1
Georgioupolis;Anemos Luxury Grand Resort;TRUE;TRUE;TRUE;1
Georgioupolis;Hotel Pilot Beach;TRUE;TRUE;TRUE;1
Gerakini;Hotel Sonia Village;TRUE;TRUE;FALSE;-1
