Hotel City,Hotelname,Twitter Handle,Website,Facebook Handle,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10
Acharavi,Hotel Matoula,,,,https://www.facebook.com/matoulabeachhotel/,https://www.facebook.com/pansionmatoula/,https://www.facebook.com/Storgi-Matoula-Giannouli-557734917669202/,https://www.facebook.com/HotelDelfini/,https://www.facebook.com/Eurostar-Rent-A-Car-894358154005951/,https://www.facebook.com/EvoraSuitesCreta/,https://www.facebook.com/pages/category/Local-Business/Matoula-Mihalis-490082184676618/,https://www.facebook.com/byannakouloumvaki/,,
Acharavi,Hotel Acharavi Beach,,https://www.acharavibeach.com/,https://www.facebook.com/AcharaviBeachHotelCorfu/,https://www.facebook.com/AcharaviBeachHotelCorfu/,https://www.facebook.com/pages/category/Hotel/Charis-Acharavi-beach-apartment-105451278489620/,https://www.facebook.com/AcharaviAphrodite/,https://www.facebook.com/vlachosaparts/,,,,,,
Adelianos Kampos,Hotel Kathrin Beach,,https://kathrinbeach.com/,https://www.facebook.com/Kathrin-Beach-Hotel-102723908759397,https://www.facebook.com/katrinhotel/,https://www.facebook.com/beautifulmiamirealty/,,,,,,,,
Afandou,Aelia Resort,,,,https://www.facebook.com/aeliawellnessretreat/,https://www.facebook.com/AeliaResortRhodes/,https://www.facebook.com/pages/category/Hotel/Aelia-resort-101709828807148/,https://www.facebook.com/aeliamykonos/,https://www.facebook.com/Aelia-Sivota-Apartments-1629135780701050/,,,,,
Agia Pelagia,Hotel Alexander House,,http://www.alexanderhouse.gr/en/,https://www.facebook.com/alexanderhousehotel,https://www.facebook.com/AHSpa/,https://www.facebook.com/AlexanderHotels/,https://www.facebook.com/alexanderhousehotel/,https://www.facebook.com/AlexanderHouseApartments/,https://www.facebook.com/alexanderoakridge/,,,,,
Agios Gordios,Mayor La Grotta Verde Grand Resort,mayorlagrotta,https://www.mayorlagrottaverde.com/en/,https://www.facebook.com/MayorLaGrottaVerde/,https://www.facebook.com/marblecitytravel.ie/,,,,,,,,,
Agios Petros,Mayor Capo Di Corfu,capodicorfu,https://www.mayorcapodicorfu.com/en/,https://www.facebook.com/MayorCapoDiCorfu,https://www.facebook.com/MayorCapoDiCorfu/,https://www.facebook.com/mayorhotelsresorts/,,,,,,,,
Amoudara,smartline Neptuno Beach,,http://www.zeushotels.gr/neptuno/,https://www.facebook.com/SmartlineNeptuno/,https://www.facebook.com/ZeushotelsNeptunobeach/,https://www.facebook.com/cosmopolitankos/,https://www.facebook.com/ZeushotelsCosmopolitan/,https://www.facebook.com/zeushotels/,https://www.facebook.com/enormelifestyle/,https://www.facebook.com/IkarosBeachResortSpa/,https://www.facebook.com/lyttosbeach/,https://www.facebook.com/SentidoPearlBeach/,https://www.facebook.com/esperidesbeachfamilyresort/,https://www.facebook.com/MaliaBayBeachHotel/
Amoudara,TUI MAGIC LIFE Candia Maris,CandiaMaris,http://www.candiamaris.gr/,https://www.facebook.com/CandiaMarisResort/?ref=search,https://www.facebook.com/CandiaMarisResort/,https://www.facebook.com/CandiaMarisResort/?hc_ref=PAGES_TIMELINE&rf=193514354024641,,,,,,,,
Amoudara,Apollonia Beach Resort & Spa,ApolloniaHotel,https://www.apollonia.gr/,https://www.facebook.com/apollonia.gr/,https://www.facebook.com/pages/category/Beach-Resort/Santa-Marina-Resort-536778169705089/,https://www.facebook.com/theroyalapollonia/,,,,,,,,
