Hotel City,Hotelname,Twitter Handle,Website,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10
Faliraki,Hotel Calypso Palace,,https://www.calypsopalace.gr/,@MMGYglobal,@VillaChalkidiki,@diamondpalaceho,@PlanetEarthRec,,,,,,
Platanes,Nefeli Hotel,,https://nefeli-hotel.gr/,@NEFELIHOMES,@RoyalBlueResort,@paphotels,@NefeliNikiforou,@petrinosuites,,,,,
Kallithea,Hotel Kalithea Horizon Royal,,https://www.kalitheahorizon.gr/,@sheratonrhodes,@CaesarsGardens,@dmarisbay,@apollobeachsa,,,,,,
Archangelos,Porto Angeli Beach Resort Hotel,portoangeli,https://www.portoangeli.com/,@krpec,@apollobeachsa,@AvraBeachResort,@sheratonrhodes,@dmarisbay,,,,,
Faliraki,Hotel Calypso Beach,,http://www.calypsohotel.gr/,@CalypsoTowerlll,@CalypsoQueenFL,@medplaya,@TimAtenKnows,,,,,,
Lardos,Lindos Princess Beach Hotel,,https://www.lindosprincess.com/,@stella_palace,@Bookgreececom,,,,,,,,
Stalis,Eurohotel Katrin Suites,,https://www.katrinsuites.gr/,@YvesWaeger,,,,,,,,,
Kardamena,Mitsis Norida Beach Hotel,mitsishotels,https://www.mitsishotels.com/,@mitsishotels,@mitsishotels,,,,,,,,
Kiotari,Hotel Rodos/Rhodos Princess Beach,,https://www.rodosprincess.com/,@HamiltonPolice,@SkyNews,@nswpolice,@dorsetpolice,,,,,,
Rhodos Stadt,Rhodos Horizon Resort,,https://rhodoshorizon.gr/,@Continentseven,@evecleary,@MedeirosLab,,,,,,,
Kardamena,Mitsis Family Village Beach Hotel,mitsishotels,https://www.mitsishotels.com/,@sheratonrhodes,@sunmastertravel,@QueenRockBand,,,,,,,
Kokkini Hani,Mitsis Rinela Beach Resort & Spa,mitsishotels,https://www.mitsishotels.com/,@AhmadHazer,@danielbarnes86,,,,,,,,
Plakias,Hotel Alianthos Garden,alianthosgarden,https://www.hotelalianthos.com/,@alianthosgarden,,,,,,,,,
Amoudara,smartline Neptuno Beach,,http://www.zeushotels.gr/neptuno/,,,,,,,,,,
Kiotari,Princess Andriana Resort & Spa,,https://www.princessandriana.com/,@MyproteinUK,@aktiimperialhotel,,,,,,,,
Faliraki,Blue Sea Beach Resort,,https://www.bluesea-thassos.com/,@BlueWatersHotel,@Mville_HBR,@waileamarriott,@SSIslandResort,@RitzCarlton,@Somobeachresort,,,,
