Hotel City,Hotelname,Twitter Handle,Website,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15,Result 16,Result 17,Result 18,Result 19,Result 20
Faliraki,Hotel Calypso Palace,,https://www.calypsopalace.gr/,1308314363086897152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Platanes,Nefeli Hotel,,https://nefeli-hotel.gr/,364266196,388472346,747720708726349824,2440309615,1445935388,383129663,596599017,0,0,0,0,0,0,0,0,0,0,0,0,0
Kallithea,Hotel Kalithea Horizon Royal,,https://www.kalitheahorizon.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archangelos,Porto Angeli Beach Resort Hotel,portoangeli,https://www.portoangeli.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faliraki,Hotel Calypso Beach,,http://www.calypsohotel.gr/,722657046122913793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lardos,Lindos Princess Beach Hotel,,https://www.lindosprincess.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stalis,Eurohotel Katrin Suites,,https://www.katrinsuites.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kardamena,Mitsis Norida Beach Hotel,mitsishotels,https://www.mitsishotels.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiotari,Hotel Rodos/Rhodos Princess Beach,,https://www.rodosprincess.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhodos Stadt,Rhodos Horizon Resort,,https://rhodoshorizon.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kardamena,Mitsis Family Village Beach Hotel,mitsishotels,https://www.mitsishotels.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kokkini Hani,Mitsis Rinela Beach Resort & Spa,mitsishotels,https://www.mitsishotels.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plakias,Hotel Alianthos Garden,alianthosgarden,https://www.hotelalianthos.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amoudara,smartline Neptuno Beach,,http://www.zeushotels.gr/neptuno/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiotari,Princess Andriana Resort & Spa,,https://www.princessandriana.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faliraki,Blue Sea Beach Resort,,https://www.bluesea-thassos.com/,532063984,498668709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kardamena,Mitsis Blue Domes Exclusive Resort & Spa,mitsishotels,https://www.mitsishotels.com/en/hotels/blue-domes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiotari,Hotel Mitsis Rhodos Village & Bungalow,mitsishotels,https://www.mitsishotels.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
