Name (Long),Surname,Name,Party,Twitter Handle,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7
Βιλιάρδος Διονυσίου Βασίλειος,Βιλιάρδος,Βιλιάρδος Βασίλειος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,174226430,174226430,0,0,0,0,0,0
Αλεξοπούλου Κωνσταντίνου Αναστασία - Αικατερίνη,Αλεξοπούλου,Αλεξοπούλου Αικατερίνη,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,1168241295149740038,93629265,0,0,0,0,0,0
Αθανασίου Ευαγγέλου Μαρία,Αθανασίου,Αθανασίου Μαρία,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,1153988844498444288,0,2840171877,0,0,0,1088970967,0
Βαγενάς Κωνσταντίνου Δημήτριος,Βαγενάς,Βαγενάς Δημήτριος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,1302266183790604290,0,1302266183790604288,0,0,0,0,0
Ασημακοπούλου Δημητρίου Σοφία - Χάιδω,Ασημακοπούλου,Ασημακοπούλου Χάιδω,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,1148229718627540992,533041104,0,0,0,0,0,0
Μυλωνάκης Αντωνίου Αντώνιος,Μυλωνάκης,Μυλωνάκης Αντώνιος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,501969331,501969331,107473222,0,0,0,0,0
Αβδελάς Κωνσταντίνου Απόστολος,Αβδελάς,Αβδελάς Απόστολος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,1254725873456078855,1254725873456078848,1210888480185704448,0,0,0,0,0
Χητάς Αχιλλέως Κωνσταντίνος,Χητάς,Χητάς Κωνσταντίνος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,366594800,0,366594800,0,0,0,0,0
Βελόπουλος Ιωσήφ Κυριάκος,Βελόπουλος,Βελόπουλος Κυριάκος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,579067205,579067205,761825909242462208,0,0,0,0,0
Μπούμπας Ιωάννη Κωνσταντίνος,Μπούμπας,Μπούμπας Κωνσταντίνος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,1165984732045369344,1165984732045369344,0,0,0,0,0,0
Αρβανιτίδης Πέτρου Γεώργιος,Αρβανιτίδης,Αρβανιτίδης Γεώργιος,ΚΙΝΑΛ,269667949,0,0,0,0,0,0,0
Αχμέτ Σαμπρή Ιλχάν,Αχμέτ,Αχμέτ Ιλχάν,ΚΙΝΑΛ,102001522,0,0,0,0,0,0,0
Γεννηματά Γεωργίου Φωτεινή (Φώφη),Γεννηματά,Γεννηματά Φώφη,ΚΙΝΑΛ,71482406,71482406,0,0,0,0,0,0
Γιαννακοπούλου Ιωάννη Κωνσταντίνα (Νάντια),Γιαννακοπούλου,Γιαννακοπούλου Νάντια,ΚΙΝΑΛ,414090002,414090002,0,0,0,0,0,0
Γκόκας Ναπολέοντα Χρήστος,Γκόκας,Γκόκας Χρήστος,ΚΙΝΑΛ,0,0,0,0,0,0,0,0
Καμίνης Βασιλείου Γεώργιος,Καμίνης,Καμίνης Γεώργιος,ΚΙΝΑΛ,191033632,191033632,0,0,0,0,0,0
