Name (Long),Surname,Name,Party,Twitter Handle,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7
Βιλιάρδος Διονυσίου Βασίλειος,Βιλιάρδος,Βιλιάρδος Βασίλειος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,ViliardosV,@ViliardosV,@ViliardosV,,,,,
Αλεξοπούλου Κωνσταντίνου Αναστασία - Αικατερίνη,Αλεξοπούλου,Αλεξοπούλου Αικατερίνη,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,anaik2020,@xrisalex,@aalexopoulos97,@xrisalex,@christina,,,
Αθανασίου Ευαγγέλου Μαρία,Αθανασίου,Αθανασίου Μαρία,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,MariaAt03902914,@Athanas_HS,@athanasiou_marios,@XarAthan,@XarAthan,@verou_ath,@AthanasiouTh,
Βαγενάς Κωνσταντίνου Δημήτριος,Βαγενάς,Βαγενάς Δημήτριος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,B3Vagenas,@loukas_vagenas,@B3Vagenas,,,,,
Ασημακοπούλου Δημητρίου Σοφία - Χάιδω,Ασημακοπούλου,Ασημακοπούλου Χάιδω,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,SofAsimak,@AnnaAsimakopoul,@anna_michelle_nd,@A6TzzGauUShtz5c,,,,
Μυλωνάκης Αντωνίου Αντώνιος,Μυλωνάκης,Μυλωνάκης Αντώνιος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,AntMylonakis,@AntMylonakis,@georgemilon,@ElMylonakis,@georgemilon,,,
Αβδελάς Κωνσταντίνου Απόστολος,Αβδελάς,Αβδελάς Απόστολος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,avdelas_ap,@avdelas_ap,@FDlRWrxOL6kq3WS,,,,,
Χητάς Αχιλλέως Κωνσταντίνος,Χητάς,Χητάς Κωνσταντίνος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,chitaskostas,@gxitas2010,@ChitasKostas,@ChitasKostas,,,,
Βελόπουλος Ιωσήφ Κυριάκος,Βελόπουλος,Βελόπουλος Κυριάκος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,velopky,@velopky,@velopky,@ellinikilisi,,,,
Μπούμπας Ιωάννη Κωνσταντίνος,Μπούμπας,Μπούμπας Κωνσταντίνος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,kostasmpoumpas,@kostasmpoumpas,@kostasmpoumpas,@loveitskaitv,,,,
