Name (Long),Surname,Name,Party,Twitter Handle,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15,Result 16,Result 17,Result 18,Result 19,Result 20
Βιλιάρδος Διονυσίου Βασίλειος,Βιλιάρδος,Βιλιάρδος Βασίλειος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,ViliardosV,174226430,246390608,849013729,856448283547320322,1032949155314970624,168128439,749728378282921984,170695991,0,0,0,0,0,0,0,0,0,0,0,0
Αλεξοπούλου Κωνσταντίνου Αναστασία - Αικατερίνη,Αλεξοπούλου,Αλεξοπούλου Αικατερίνη,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,anaik2020,320162191,73234260,3373083677,1187678476977000448,1109429795962662912,244904266,2149327176,1011348632430350346,1262107088,1230765734004871170,1168241295149740038,263784628,599366320,171661692,1325123115366707200,576183073,1194241307251789826,51597099,223945318,72824620
Αθανασίου Ευαγγέλου Μαρία,Αθανασίου,Αθανασίου Μαρία,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,MariaAt03902914,1088970967,880033291,2591503675,2495322266,103608120,198918336,545516335,2228554512,434327352,1623181272,35453950,517875912,812762451485818881,230836510,53700015,421787378,1192655092400283648,703958160,711712332,38287046
Βαγενάς Κωνσταντίνου Δημήτριος,Βαγενάς,Βαγενάς Δημήτριος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,B3Vagenas,253071752,3340651392,808532589640171520,277694245,879300336,184925137,190807777,102021234,232878666,80685248,63101531,538678651,403661679,137151534,1049215741,1002016027,897883385745551360,3291502453,1118028346145824771,90375469
Ασημακοπούλου Δημητρίου Σοφία - Χάιδω,Ασημακοπούλου,Ασημακοπούλου Χάιδω,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,SofAsimak,533041104,714120024,2829422892,1305799456080695296,2249352493,796952667713114113,3341548223,368987703,735098455379607552,392600272,1342908256591736834,275945170,1127930818712743936,2436824634,3814339281,931266633351516160,813814300968108032,1276660778519670786,2569601167,1188808110074413057
Μυλωνάκης Αντωνίου Αντώνιος,Μυλωνάκης,Μυλωνάκης Αντώνιος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,AntMylonakis,809083237712691201,107473222,17379032,501969331,37690627,1519386194,238257257,196303359,17013948,3093119955,3029611175,2447358682,330329339,1920774078,2754107716,1294621579616219137,908057649735925761,1534373762,1267845190850695169,3065745453
Αβδελάς Κωνσταντίνου Απόστολος,Αβδελάς,Αβδελάς Απόστολος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,avdelas_ap,1254725873456078855,1071981536,701055548,988421475987329024,3385274771,3288244592,1598595338,437021963,607035991,904975549382008836,1572817320,740398673042014208,42834216,2781951214,1290242077628874753,841205730661277697,388301714,2969618440,128018115,2344287901
Χητάς Αχιλλέως Κωνσταντίνος,Χητάς,Χητάς Κωνσταντίνος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,chitaskostas,121766589,129307927,1000070804820975617,1651347457,39245459,2764031388,54981747,903421338018357248,366594800,253840620,1242565023907667971,90692620,106737252,79534797,2589451739,851394881541083136,592944804,317368583,154217701,580603856
Βελόπουλος Ιωσήφ Κυριάκος,Βελόπουλος,Βελόπουλος Κυριάκος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,velopky,2216069664,1852519207,2941131561,2802896026,852791394,555118441,854991390,1861893055,703311685315125248,357724472,333584162,3179394819,462094380,851398380,84200298,1352747239496704000,292288402,0,0,0
Μπούμπας Ιωάννη Κωνσταντίνος,Μπούμπας,Μπούμπας Κωνσταντίνος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,kostasmpoumpas,253381745,398555097,405692270,1254227864,70291940,440293321,4898277273,497265898,109834132,0,0,0,0,0,0,0,0,0,0,0
