Name (Long),Surname,Name,Party,Twitter Handle,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15,Result 16,Result 17,Result 18,Result 19,Result 20
Βιλιάρδος Διονυσίου Βασίλειος,Βιλιάρδος,Βιλιάρδος Βασίλειος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,ViliardosV,174226430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Αλεξοπούλου Κωνσταντίνου Αναστασία - Αικατερίνη,Αλεξοπούλου,Αλεξοπούλου Αικατερίνη,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,anaik2020,126143952,93629265,282486425,2596344709,167572986,2886925971,324851612,1093810724323897345,3169371485,4913046705,2569485777,2329900741,2694843255,2370663787,4641601163,1373670869613084674,507489429,4209308067,3110162349,1189778967546474498
Αθανασίου Ευαγγέλου Μαρία,Αθανασίου,Αθανασίου Μαρία,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,MariaAt03902914,965785002,2840171877,424495304,1847450509,484212704,2178861804,1011336717499092993,583362587,866188746,1050343448610525184,1697401291,1050337249496391681,799200059464318976,3253495824,2466023912,582976052,984469619023994880,705406032,886626800,860197691447549954
Βαγενάς Κωνσταντίνου Δημήτριος,Βαγενάς,Βαγενάς Δημήτριος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,B3Vagenas,1977451178,1049215741,1534824312,1264145037929185280,739463983405662208,2802241672,709677614,4746904185,1098290531774414848,1264139288301785090,2400905457,1302266183790604290,3167304245,4219002089,1209556114725130240,3351186423,970798547460395008,3244790992,2161086549,704032421696643073
Ασημακοπούλου Δημητρίου Σοφία - Χάιδω,Ασημακοπούλου,Ασημακοπούλου Χάιδω,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,SofAsimak,533041104,998828010181709825,1148229718627540992,405567257,1216171735,2915460700,2880771664,718919441048813568,968919353629519878,3374523071,3107550591,3029871778,1851852092,863376977331400705,2463333126,842354478,1361908210068836353,4179542776,3172032267,3923205689
Μυλωνάκης Αντωνίου Αντώνιος,Μυλωνάκης,Μυλωνάκης Αντώνιος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,AntMylonakis,17883546,2864044252,3002801524,883350950542544896,735416726897188864,1295721371906068480,770634392242905088,2579943422,737781252422524929,1050714808822194177,1024541398958329856,971120015666761728,794647842103197696,1213476837273194496,956484946759241729,1155765721030451201,560484268,2379025213,3306064541,2822539562
Αβδελάς Κωνσταντίνου Απόστολος,Αβδελάς,Αβδελάς Απόστολος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,avdelas_ap,1254725873456078855,1210888480185704449,576398072,908034106826674176,839271552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Χητάς Αχιλλέως Κωνσταντίνος,Χητάς,Χητάς Κωνσταντίνος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,chitaskostas,3087199700,958470799471665153,105266707,2978615889,2583303269,773915337175736321,825362694417088512,796633504264187904,2680411180,825358866128990209,105415704,0,0,0,0,0,0,0,0,0
Βελόπουλος Ιωσήφ Κυριάκος,Βελόπουλος,Βελόπουλος Κυριάκος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,velopky,579067205,1131834706553708544,1296582348679647233,3179394819,3020236540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Μπούμπας Ιωάννη Κωνσταντίνος,Μπούμπας,Μπούμπας Κωνσταντίνος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,kostasmpoumpas,848036251857035265,3296977816,2762682561,1378319819213262850,2486249697,1451123430,1165907624799416320,972391100001505280,1712654797,430674694,0,0,0,0,0,0,0,0,0,0
Αρβανιτίδης Πέτρου Γεώργιος,Αρβανιτίδης,Αρβανιτίδης Γεώργιος,ΚΙΝΑΛ,Arvanitidis_Geo,269667949,977956360573865985,1603166077,1205553030315286532,866936615926738945,745536402444587008,1345837368591396864,1150855589846802432,1082676862696988673,1610737652,790490353350631424,1013763446096236544,3395470102,1148327732117475333,3364065969,1352293996220076035,787413058788483072,3373478649,883910574,2313670287
Αχμέτ Σαμπρή Ιλχάν,Αχμέτ,Αχμέτ Ιλχάν,ΚΙΝΑΛ,ilhanahmet,1168167671151628290,14782164,365783811,181567076,728274786510606341,334098012,1119188255793131520,1110279112785047552,978382439490957317,836984917909188608,1201287887767126017,922024582848110592,702487455744835584,1199222444344647680,1045199517019250689,1735721486,1168287087847706626,1325155115871870976,1304628998962663424,203952946
Γεννηματά Γεωργίου Φωτεινή (Φώφη),Γεννηματά,Γεννηματά Φώφη,ΚΙΝΑΛ,FofiGennimata,71482406,3362656493,756165617560981504,1966889359,312879858,1124679512560631811,973698363173548035,1357726902132310017,0,0,0,0,0,0,0,0,0,0,0,0
Γιαννακοπούλου Ιωάννη Κωνσταντίνα (Νάντια),Γιαννακοπούλου,Γιαννακοπούλου Νάντια,ΚΙΝΑΛ,ngiannakopoulou,1149869309138788352,1206911360535289856,1288167652876222465,735190684085420035,3436744299,811612884870590465,2809924869,740569390899449856,4784127503,3346587016,2496252115,4121600680,1045783778235420672,4296490757,2764760266,892708737512865795,2824725964,3303207185,851477018965405696,1217011837029552128
Γκόκας Ναπολέοντα Χρήστος,Γκόκας,Γκόκας Χρήστος,ΚΙΝΑΛ,,4901905546,2650396986,3390907353,704313686949756929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Καμίνης Βασιλείου Γεώργιος,Καμίνης,Καμίνης Γεώργιος,ΚΙΝΑΛ,KaminisG,191033632,1589560872,707816406,187181162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Καστανίδης Γεωργίου Χαράλαμπος,Καστανίδης,Καστανίδης Χαράλαμπος,ΚΙΝΑΛ,KastanidisHaris,4873626832,3294027371,933464402468143104,954931534947147777,1335315123041423366,3124580605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Κατρίνης Ιωάννη Μιχαήλ,Κατρίνης,Κατρίνης Μιχαήλ,ΚΙΝΑΛ,michaelkatrinis,32475807,2469046673,924543216870940672,866653610633035777,866655131517038592,1197756937,866656539389677569,1054490274741829633,0,0,0,0,0,0,0,0,0,0,0,0
Κεγκέρογλου Αλεξάνδρου Βασίλειος,Κεγκέρογλου,Κεγκέρογλου Βασίλειος,ΚΙΝΑΛ,bkegeroglou,1685324635,907948886,588106696,3372230513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Κεφαλίδου Δημητρίου Χαρούλα (Χαρά),Κεφαλίδου,Κεφαλίδου Χαρά,ΚΙΝΑΛ,xarakefalidou,3340907285,622722700,720936201100926976,4405540413,797741839013072896,2860579048,1082704255,3060238121,930848883072208897,2850302636,4297500436,2985524613,930850466761793536,920726249986756613,2291248806,2353484376,0,0,0,0
Κωνσταντινόπουλος Κωνσταντίνου Οδυσσέας,Κωνσταντινόπουλος,Κωνσταντινόπουλος Οδυσσέας,ΚΙΝΑΛ,Odysseas_,70713954,1363519302142468105,1361079800203476993,3033301179,1298221050262687749,966384914995216384,916018040176816129,3872063716,2985624712,966388602329550849,932924841958760448,1357335909939638272,1361976306792083457,966384087056506880,0,0,0,0,0,0
Κωνσταντόπουλος Χρήστου Δημήτριος,Κωνσταντόπουλος,Κωνσταντόπουλος Δημήτριος,ΚΙΝΑΛ,dkonstantop,548314325,3308342351,808310341385981952,850614662,406858757,1432471826,1247500978485637122,1313769803820281856,950460738467979265,300193921,932360544497127427,1039641479378100225,1355470833536430081,1337087037346811905,1341044396729483264,1053942099316559872,1327245687722008577,1175418177104297989,1366441612092583938,299193475
Λιακούλη Θεοφάνη Ευαγγελία,Λιακούλη,Λιακούλη Ευαγγελία,ΚΙΝΑΛ,p1l1sulLrVED8tt,1080196461151862784,1156878352759894016,3033500362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Λοβέρδος Νικολάου Ανδρέας,Λοβέρδος,Λοβέρδος Ανδρέας,ΚΙΝΑΛ,a_loverdos,225931853,2500320130,1331372949367107588,2308316569,3306210891,2281724040,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Μουλκιώτης Βασιλείου Γεώργιος,Μουλκιώτης,Μουλκιώτης Γεώργιος,ΚΙΝΑΛ,GMoulkiotis,1191680252201852931,1364997519764316160,2512671294,1217094994605105153,821425608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Μπαράν Νετζαντή Μπουρχάν,Μπαράν,Μπαράν Μπουρχάν,ΚΙΝΑΛ,BurhanBaranDr,821467254323822593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Μπιάγκης Σπυρίδωνος Δημήτριος,Μπιάγκης,Μπιάγκης Δημήτριος,ΚΙΝΑΛ,dimitrisbiagkis,1159407842350288896,1160216175038664705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
