Name,GoogleAPI Fullnames,GoogleAPI Surnames,TwitterAPI Fullnames,TwitterAPI Surnames,TwitterAPI SurnamesLatin,GoogleAPI SurnamesLatin
Βιλιάρδος Βασίλειος,True,True,False,True,True,True
Αλεξοπούλου Αικατερίνη,True,False,False,False,False,True
Αθανασίου Μαρία,True,False,False,False,False,False
Βαγενάς Δημήτριος,True,True,False,False,False,False
Ασημακοπούλου Χάιδω,False,False,False,True,False,False
Μυλωνάκης Αντώνιος,True,True,False,False,True,True
Αβδελάς Απόστολος,True,True,True,True,True,False
Χητάς Κωνσταντίνος,True,True,False,False,True,False
Βελόπουλος Κυριάκος,True,True,True,True,True,True
Μπούμπας Κωνσταντίνος,True,True,False,False,True,False
Αρβανιτίδης Γεώργιος,False,False,True,True,False,False
Αχμέτ Ιλχάν,True,False,False,False,False,True
Γεννηματά Φώφη,True,True,True,True,True,True
Γιαννακοπούλου Νάντια,True,True,False,False,True,True
Καμίνης Γεώργιος,True,True,True,True,True,True
Καστανίδης Χαράλαμπος,False,True,False,False,True,False
Κατρίνης Μιχαήλ,True,True,False,True,False,False
Κεγκέρογλου Βασίλειος,True,True,False,True,False,False
Κεφαλίδου Χαρά,False,False,False,False,True,False
Κωνσταντινόπουλος Οδυσσέας,True,True,True,True,True,True
Κωνσταντόπουλος Δημήτριος,True,True,False,True,False,False
Λιακούλη Ευαγγελία,False,False,True,True,False,False
Λοβέρδος Ανδρέας,True,True,True,True,True,True
Μουλκιώτης Γεώργιος,True,True,False,True,False,False
Μπαράν Μπουρχάν,False,False,False,False,False,False
Μπιάγκης Δημήτριος,True,True,True,True,False,False
Πανάς Απόστολος,True,True,True,True,False,True
Παπανδρέου Γεώργιος,True,True,False,False,True,True
Πουλάς Ανδρέας,True,True,True,True,False,True
Σκανδαλίδης Κωνσταντίνος,False,True,True,True,True,True
Φραγγίδης Γεώργιος,True,True,False,True,False,False
Αδάμου Κωνσταντίνα,False,False,False,False,False,True
Απατζίδη Μαρία,False,False,False,False,True,False
Βαρουφάκης Γιάνης,True,True,True,True,True,True
Λογιάδης Γεώργιος,False,True,False,False,True,True
Μπακαδήμα Φωτεινή,True,True,False,False,True,True
Αρσένης Ηλίας,True,True,False,False,False,False
Σακοράφα Σοφία,True,True,True,True,True,True
Γιαννάκου Μαριέττα,True,True,True,True,True,True
Θεοδωρικάκος Τάκης,True,True,True,True,False,True
Συρίγος Άγγελος,True,True,False,False,True,True
Πιπιλή Φωτεινή,True,True,True,True,True,True
Μπογδάνος Κωνσταντίνος,True,True,False,False,False,True
Κακλαμάνης Νικήτας,True,True,True,True,True,False
Κεφαλογιάννη Όλγα,True,True,True,True,True,True
Κικίλιας Βασίλειος,True,True,False,True,True,True
Πλεύρης Αθανάσιος,True,True,False,True,False,True
Ράπτη Ζωή,True,False,True,True,False,True
Ρουσόπουλος Θεόδωρος,True,True,False,True,False,True
Κουμουτσάκος Γεώργιος,True,True,True,True,True,True
Κεραμέως Νίκη,True,True,True,True,True,True
Καιρίδης Δημήτριος,True,True,False,True,True,True
Γεωργιάδης Άδωνις,True,True,True,True,False,True
Χατζηδάκης Κωστής,True,True,True,True,True,True
Βαρβιτσιώτης Μιλτιάδης,True,True,False,False,True,True
Λοβέρδος Γιάννης,True,True,True,True,True,True
Μητσοτάκης Κυριάκος,True,True,True,True,True,True
Κυρανάκης Κωνσταντίνος,True,True,False,False,True,True
Παπαδημητρίου Μπάμπης,True,True,True,True,False,True
Σπανάκης Πέτρος,True,True,False,True,False,True
Δένδιας Γεώργιος,False,True,True,True,True,False
Βούλτεψη Σοφία,True,True,True,True,True,True
Καλλιάνος Ιωάννης,True,True,False,True,True,False
Καραμανλή Άννα,True,False,True,True,True,True
Θεοχάρης Χάρης,True,True,False,False,False,True
Δούνια Νόνη,True,False,False,False,False,True
Μπουτσικάκης Εμμανουήλ,False,True,False,False,True,False
Μελάς Ιωάννης,True,True,False,True,False,False
Μανωλάκος Νικόλαος,True,True,False,True,False,False
Μαρκόπουλος Δημήτριος,True,True,False,False,False,True
Μαρτίνου Γεωργία,True,True,False,False,True,True
Οικονόμου Βασίλειος,True,True,False,False,False,True
Βλάχος Γεώργιος,True,False,False,False,False,False
Βορίδης Μάκης,True,True,False,False,True,True
Μπούρας Αθανάσιος,True,True,True,True,False,False
Κώτσηρας Γεώργιος,True,True,False,True,False,False
Λιάκος Ευάγγελος,True,False,False,False,False,False
Λιβανός Σπήλιος,True,False,False,False,False,True
Σαλμάς Μάριος,True,True,True,True,False,True
Καραγκούνης Κωνσταντίνος,True,True,True,True,False,True
Βλάσης Κωνσταντίνος,True,True,False,True,False,True
Στύλιος Γεώργιος,True,True,True,True,True,False
Αλεξοπούλου Χριστίνα,True,True,True,True,False,True
Κατσανιώτης Ανδρέας,True,True,True,True,True,True
Τσιγκρής Άγγελος,True,True,True,True,False,False
Φωτήλας Ιάσων,False,True,False,False,True,False
Κουτσούμπας Ανδρέας,True,False,True,True,False,False
Πάτσης Ανδρέας,True,True,False,False,False,True
Μπλούχος Κωνσταντίνος,False,False,False,True,False,False
Παππάς Ιωάννης,True,False,False,False,False,False
Κόνσολας Μάνος,True,True,True,True,True,True
Υψηλάντης Νικόλαος,False,False,False,False,True,False
Δημοσχάκης Τάσος,False,True,False,True,True,False
Κελέτσης Σταύρος,True,True,False,False,True,True
Δερμεντζόπουλος Χρήστος,False,False,False,False,True,False
Κεδίκογλου Σίμος,True,True,True,True,True,True
Ζεμπίλης Αθανάσιος,False,True,False,True,False,False
Νικολακόπουλος Ανδρέας,True,True,True,True,False,False
Τζαβάρας Κωνσταντίνος,False,True,True,True,False,False
Αυγερινοπούλου Θεοδώρα,True,True,False,False,True,True
Βεσυρόπουλος Απόστολος,True,True,True,True,False,False
Μπαρτζώκας Αναστάσιος,False,True,False,True,True,False
