poi;Results;Found;Place;Relevant
αποκορωνου εκκλησία παναγίας & αγ. δημητρίου;TRUE;FALSE;-1;5
σφακιων βρυση;TRUE;FALSE;-1;0
κανδανου- σελινου ολοκαυτωμα καντανου 1-3 ιουνιου;FALSE;FALSE;-1;0
κανδανου- σελινου καρναβαλι παλαιοχωρας;TRUE;FALSE;-1;0
αποκορωνου παρθεναγωγείο;FALSE;FALSE;-1;0
γαυδου πύργος;TRUE;FALSE;-1;0
κισαμου κάμπου;TRUE;FALSE;-1;0
κισαμου ρόκκας;TRUE;FALSE;-1;1
κισαμου σκαλίδης στα περβολια;TRUE;FALSE;-1;0
κανδανου- σελινου ανυδρων;FALSE;FALSE;-1;0
πλατανια μονή γωνιάς, κολυμπάρι;FALSE;FALSE;-1;0
γαυδου 90 χιλιόμετρα;FALSE;FALSE;-1;0
κισαμου αγ. σοφία τοπολια;FALSE;FALSE;-1;0
κανδανου- σελινου αρχ.μιχαηλ σαρακηνα;FALSE;FALSE;-1;0
αποκορωνου καλντερίμι (πλακόστρωτο);FALSE;FALSE;-1;0
σφακιων αγιος χαραλαμπος;TRUE;FALSE;-1;0
γαυδου οχυροματικο τοιχος ενετικης περιοδου;FALSE;FALSE;-1;0
κισαμου αγ. γεώργιος βάθη;FALSE;FALSE;-1;0
κανδανου- σελινου τυροκομος;FALSE;FALSE;-1;0
γαυδου πρασονησια;FALSE;FALSE;-1;0
αποκορωνου αχατζηκιά;FALSE;FALSE;-1;0
αποκορωνου παλιά γειτονιά;TRUE;FALSE;-1;1
αποκορωνου κουλές (οθωμανικός πύργος);TRUE;FALSE;-1;0
κανδανου- σελινου χριστος πλεμενιανα;TRUE;FALSE;-1;0
πλατανια πάρκο αγίου γερασίμου, μόδι;FALSE;FALSE;-1;0
"πλατανια μονοπάτι ""βρύση δασκάλου”, παλαιά ρούματα";FALSE;FALSE;-1;0
σφακιων καστρακι αγιας αικατερινης ;FALSE;FALSE;-1;0
γαυδου τρυπιτή;TRUE;FALSE;-1;1
κανδανου- σελινου αγια αννα κανδανος (ανισαρακι);FALSE;FALSE;-1;0
κανδανου- σελινου αγ.ειρηνη;FALSE;FALSE;-1;0
κανδανου- σελινου πολυφημου στην σουγια ;FALSE;FALSE;-1;0
σφακιων καψοδασος;TRUE;FALSE;-1;0
σφακιων σαμαρια;TRUE;FALSE;-1;1
σφακιων παραλια μαραμαρα;TRUE;FALSE;-1;1
πλατανια αρχαία δίκτυννα;FALSE;FALSE;-1;0
πλατανια γερμανικό στρατιωτικό νεκροταφείο;FALSE;FALSE;-1;0
κισαμου ευαγγελισμος της θεοτόκου στη κισσαμο;TRUE;FALSE;-1;0
κανδανου- σελινου 1.παλαιοχωρα-ανυδροι- προδρομι-τεμενια-καντανος-παλαιοχωρα;FALSE;FALSE;-1;0
κανδανου- σελινου σαρακηνας;FALSE;FALSE;-1;0
κισαμου  τηγάνι - λιμνοθάλασσα μπάλου;FALSE;FALSE;-1;0
γαυδου ποταμός ;TRUE;FALSE;-1;0
αποκορωνου βυζαντινό φρούριο;TRUE;FALSE;-1;0
πλατανια καταφύγιο καλλέργη, ομαλός;TRUE;TRUE;1;1
κανδανου- σελινου καντανου;TRUE;FALSE;-1;0
γαυδου αι γιάννης;TRUE;FALSE;-1;0
αποκορωνου πηγή ραφιόλι;FALSE;FALSE;-1;0
γαυδου φετιφέ;FALSE;FALSE;-1;0
αποκορωνου εκκλησία αγ. ιωάννη;TRUE;TRUE;1;4
γαυδου λακούδι;FALSE;TRUE;-1;0
αποκορωνου δάσος αζίλακα;FALSE;TRUE;-1;0
πλατανια φαράγγι σαρακήνας, μεσκλά;TRUE;FALSE;-1;0
πλατανια γέφυρα κερίτη, αλικιανός;TRUE;TRUE;5;1
πλατανια άι κυρ γιάννης, αλικιανός;FALSE;FALSE;-1;0
πλατανια παραλία αφράτων;TRUE;FALSE;-1;0
πλατανια άγιος ιωάννης δελιανά κισσάμου (13ος, 14οςαιώνας);FALSE;FALSE;-1;0
αποκορωνου δάσος ρουπακιά (ορπακιά);FALSE;FALSE;-1;0
πλατανια παραλία “μένιες ή δίκτυννα”;FALSE;FALSE;-1;0
αποκορωνου εκκλησία προφήτη ηλία;TRUE;FALSE;-1;3
πλατανια βοτανικό πάρκο και κήποι κρήτης, φουρνές;TRUE;FALSE;-1;0
"πλατανια 
οινοποιείο ντουρουντάκη - νεριανά βουκολιών πλατανιά
";FALSE;FALSE;-1;0
γαυδου αι γιάννης;TRUE;FALSE;-1;0
κισαμου καλεργιανα ;TRUE;FALSE;-1;0
σφακιων λυκος;TRUE;FALSE;-1;0
κισαμου γραμβούσια - κρητικός γάμος;FALSE;FALSE;-1;0
σφακιων οροπεδιο μανικας- ναος αγ.εμμανουηλ;FALSE;FALSE;-1;0
κανδανου- σελινου 3.παλαιοχωρα-κουντουρα-αγιοι θεοδωροι-σκλαβοπουλα-βουτας-παλαιοχωρα;FALSE;FALSE;-1;0
πλατανια α) αγιά – αλικιανός – μεσκλά, β) πλατανιάς – δρακιανά – κυρτωμάδω και γ) πλατανιάς – κολυμβάρι;FALSE;FALSE;-1;0
γαυδου άγιος μανώλης;FALSE;FALSE;-1;0
αποκορωνου καλύβες νερόμυλος;TRUE;FALSE;-1;0
κανδανου- σελινου αζογυρες-ανυδροι;FALSE;FALSE;-1;0
κισαμου σηρικαριου;FALSE;FALSE;-1;0
κανδανου- σελινου παναγια πλεμενιανα;FALSE;FALSE;-1;0
κισαμου αγ. βάρβαρα λατζιανα;FALSE;FALSE;-1;0
κανδανου- σελινου κρινακι θαλασσης;FALSE;FALSE;-1;0
σφακιων αγια ζωνη –νομικιανα;FALSE;FALSE;-1;0
πλατανια γέφυρα ταυρωνίτη;FALSE;FALSE;-1;0
πλατανια ποταμός ταυρωνίτης;TRUE;FALSE;-1;0
σφακιων πολεμικο μουσειο β παγκ.πολεμου (ιδιωτη);FALSE;FALSE;-1;0
σφακιων παραλια στο παλιο λιμανι;TRUE;FALSE;-1;0
αποκορωνου ξωκλήσι αγ. φανουρίου (είσοδος χωριού);FALSE;FALSE;-1;0
πλατανια φαράγγι κυδώνι – μποριανών, καράνου;FALSE;FALSE;-1;0
πλατανια φαράγγι σαμαριάς;TRUE;FALSE;-1;0
αποκορωνου αγ. νικόλαος;TRUE;FALSE;-1;0
κανδανου- σελινου ποικιλασσος;FALSE;FALSE;-1;0
κανδανου- σελινου σχολειο βουτα;TRUE;FALSE;-1;1
κανδανου- σελινου καρακολι στο αποπηγαδι (κουλες);FALSE;FALSE;-1;0
αποκορωνου φάρος ακρωτηρίου δρέπανο;FALSE;FALSE;-1;0
πλατανια πύργος βουκολιών;FALSE;FALSE;-1;0
αποκορωνου καταδυτικό πάρκο ομπρόσγιαλου;FALSE;FALSE;-1;0
κανδανου- σελινου μ.αρχαγγελου στην κανδανο (καβαλαριανα);FALSE;FALSE;-1;0
γαυδου γαυδοπουλα;FALSE;FALSE;-1;0
κανδανου- σελινου αγιος παντελεημονας - σουγια;FALSE;FALSE;-1;0
πλατανια χερσονησος ροδοπου - παραλια μαλεμε;FALSE;FALSE;-1;
σφακιων παραδοσιακος υποδυματοποιος – στιβανια;FALSE;FALSE;-1;0
κανδανου- σελινου 2.παλαιοχωρα-κοντοκηνυγι-σαρακηνα-μυλωνες-φλωρια-καντανο-παλαιοχωρα;FALSE;FALSE;-1;0
αποκορωνου παλιό ελαιοτριβείο;TRUE;FALSE;-1;0
γαυδου κεδρές;FALSE;FALSE;-1;0
κανδανου- σελινου καστρο φορτετζα παλαιοχωρας;FALSE;FALSE;-1;0
γαυδου 38 μετοχια;FALSE;FALSE;-1;0
γαυδου αι νικόλας;FALSE;FALSE;-1;0
