screen_name,id,protected,real_name,name,Greeklish,Uppercase,Different_Name
ViliardosV,174226430,False,Βιλιάρδος Βασίλειος,Βασίλης Βιλιάρδος,False,False,True
anaik2020,1168241295149740038,False,Αλεξοπούλου Αικατερίνη,ANASTASIA-EKATERINI ALEXOPOULOU,True,True,True
MariaAt03902914,1153988844498444288,False,Αθανασίου Μαρία,Maria Athanasiou- ΕΛΛΗΝΙΚΗ ΛΥΣΗ,True,False,False
B3Vagenas,1302266183790604290,False,Βαγενάς Δημήτριος,Δημητρης Βαγενας,False,False,True
SofAsimak,1148229718627540992,False,Ασημακοπούλου Χάιδω,ΣΟΦΙΑ ΑΣΗΜΑΚΟΠΟΥΛΟΥ - ΕΛΛΗΝΙΚΗ ΛΥΣΗ,False,True,True
AntMylonakis,501969331,False,Μυλωνάκης Αντώνιος,Antonios Mylonakis,True,False,False
avdelas_ap,1254725873456078855,False,Αβδελάς Απόστολος,Αβδελάς Απόστολος,False,False,False
ChitasKostas,366594800,False,Χητάς Κωνσταντίνος,Chitas Constantinos,True,False,True
velopky,579067205,False,Βελόπουλος Κυριάκος,Βελόπουλος Κυριάκος Πρόεδρος ΕΛΛΗΝΙΚΗ ΛΥΣΗ,False,False,False
kostasmpoumpas,1165984732045369344,False,Μπούμπας Κωνσταντίνος,ΚΩΣΤΑΣ ΜΠΟΥΜΠΑΣ,False,True,False
Arvanitidis_Geo,269667949,False,Αρβανιτίδης Γεώργιος,George Arvanitidis,True,False,True
ILHANAHMET,102001522,False,Αχμέτ Ιλχάν,Av. ilhan AHMET,True,True,False
FofiGennimata,71482406,False,Γεννηματά Φώφη,Fofi Gennimata,True,False,False
ngiannakopoulou,414090002,False,Γιαννακοπούλου Νάντια,Nadia Giannakopoulou,True,False,False
KaminisG,191033632,False,Καμίνης Γεώργιος,Georgios Kaminis,True,False,False
KastanidisHaris,534632102,False,Καστανίδης Χαράλαμπος,Kastanidis Haris,True,False,True
michaelkatrinis,32475807,False,Κατρίνης Μιχαήλ,Μιχάλης Κατρίνης,False,False,True
BKegeroglou,588106696,False,Κεγκέρογλου Βασίλειος,Βασίλης Κεγκέρογλου,False,False,True
xarakefalidou,4126380982,False,Κεφαλίδου Χαρά,xara_kefalidou,True,False,True
Odysseas_,70713954,False,Κωνσταντινόπουλος Οδυσσέας,ΚΩΝΣΤΑΝΤΙΝΟΠΟΥΛΟΣ ΟΔΥΣΣΕΑΣ,False,True,False
dkonstantop,3308342351,False,Κωνσταντόπουλος Δημήτριος,Δημήτρης Κωνσταντόπουλος,False,False,True
p1l1sulLrVED8tt,1156878352759894016,False,Λιακούλη Ευαγγελία,ΕΥΑΓΓΕΛΙΑ ΛΙΑΚΟΥΛΗ,True,True,False
a_loverdos,225931853,False,Λοβέρδος Ανδρέας,Andreas Loverdos,True,False,False
GMoulkiotis,1191680252201852931,False,Μουλκιώτης Γεώργιος,Γιώργος Μουλκιώτης,False,False,False
BurhanBaranDr,1177124881688866816,False,Μπαράν Μπουρχάν,Burhan Baran,True,False,False
dimitrisbiagkis,1159407842350288896,False,Μπιάγκης Δημήτριος,Δημήτριος Μπιάγκης,False,False,False
PanasApostolos,1259340614,False,Πανάς Απόστολος,Απόστολος Πάνας,False,False,False
GPapandreou,7005602,False,Παπανδρέου Γεώργιος,George A. Papandreou,True,False,True
AndreasPoulas,347951559,False,Πουλάς Ανδρέας,Ανδρέας Πουλάς,False,False,False
KSkandalidis,539098641,False,Σκανδαλίδης Κωνσταντίνος,Kostas Skandalidis,True,False,True
FragidisGeorge,1248746286460919810,False,Φραγγίδης Γεώργιος,Γιώργος Φραγγίδης,False,False,True
KonstantinaAda1,2458564941,False,Αδάμου Κωνσταντίνα,Konstantina Adamou,True,False,False
ApatzidiM,1219343130065014792,False,Απατζίδη Μαρία,Apatzidi_Maria,True,False,False
yanisvaroufakis,124690469,False,Βαρουφάκης Γιάνης,Yanis Varoufakis,True,False,True
GeorgeLogiadis,1168885946361757705,False,Λογιάδης Γεώργιος,George Logiadis,True,False,True
fbakadima,350800867,False,Μπακαδήμα Φωτεινή,Fotini Bakadima,True,False,False
karsenis,92969084,False,Αρσένης Ηλίας,Kriton Arsenis,True,False,True
SofiaSakorafa,533082734,False,Σακοράφα Σοφία,Σοφία Σακοράφα,False,False,False
m_giannakou,886723075,False,Γιαννάκου Μαριέττα,Marietta Giannakou,True,False,False
theodorikakosp,1149205366930071552,False,Θεοδωρικάκος Τάκης,Τάκης Θεοδωρικάκος,False,False,False
,0,False,Ταραντίλης Χρήστος,,False,False,False
AngelosSyrigos,422814594,False,Συρίγος Άγγελος,Angelos Syrigos,True,False,False
FotiniPipili,481393090,False,Πιπιλή Φωτεινή,FotiniPipili,True,False,True
bogdanosk,53439175,False,Μπογδάνος Κωνσταντίνος,constantinosbogdanos,True,False,True
nkaklamanis,72838721,False,Κακλαμάνης Νικήτας,Νικήτας Κακλαμάνης,False,False,False
olgakef,2365419054,False,Κεφαλογιάννη Όλγα,Όλγα Κεφαλογιάννη,False,False,False
Vkikilias,54283324,False,Κικίλιας Βασίλειος,Vassilis Kikilias,True,False,True
thanosplevris,112445908,False,Πλεύρης Αθανάσιος,Θάνος Πλεύρης,False,False,False
raptizoi,2443992852,False,Ράπτη Ζωή,Ζωή Ράπτη,False,False,False
RoussopoulosTh,1735479950,False,Ρουσόπουλος Θεόδωρος,Θοδωρής Ρουσόπουλος,False,False,True
GKoumoutsakos,633098410,False,Κουμουτσάκος Γεώργιος,Giorgos Koumoutsakos,True,False,True
nkerameus,435737814,False,Κεραμέως Νίκη,Niki Kerameus,True,False,False
DimKairidis,2608056638,False,Καιρίδης Δημήτριος,Dimitris Kairidis - Δημήτρης Καιρίδης,False,False,False
AdonisGeorgiadi,70340615,False,Γεωργιάδης Άδωνις,Άδωνις Γεωργιάδης,False,False,False
K_Hatzidakis,434832879,False,Χατζηδάκης Κωστής,Kostis Hatzidakis,True,False,False
MVarvitsiotis,60591084,False,Βαρβιτσιώτης Μιλτιάδης,Varvitsiotis Miltiadis,True,False,False
YiannisLoverdos,2500320130,False,Λοβέρδος Γιάννης,Γιαννης Λοβερδος,False,False,False
kmitsotakis,14283525,False,Μητσοτάκης Κυριάκος,Kyriakos Mitsotakis,True,False,False
kyranakis,17132736,False,Κυρανάκης Κωνσταντίνος,kyranakis,True,False,True
babis2019,48426854,False,Παπαδημητρίου Μπάμπης,Μπάμπης Παπαδημητρίου,False,False,False
vspanakis,162448017,False,Σπανάκης Πέτρος,Βασίλης Σπανάκης,False,False,True
NikosDendias,236744081,False,Δένδιας Γεώργιος,Nikos Dendias,True,False,False
Sofia_voultepsi,404193258,False,Βούλτεψη Σοφία,Σοφία Βούλτεψη,False,False,False
kallianos,310780249,False,Καλλιάνος Ιωάννης,Γιάννης Καλλιάνος,False,False,True
AnnaKaramanli,478754813,False,Καραμανλή Άννα,Anna Karamanli,True,False,False
htheoharis,107136186,False,Θεοχάρης Χάρης,Harry Theoharis,True,False,True
NoniDounia,1141433832769503238,False,Δούνια Νόνη,Noni Dounia,True,False,False
,0,False,Κατσαφάδος Κωνσταντίνος,,False,False,False
BoutsikakisChr,849286834337271808,False,Μπουτσικάκης Εμμανουήλ,BoutsikakisChristoforos,True,False,True
yiannismelas,197613052,False,Μελάς Ιωάννης,Γιάννης Μελάς,False,False,True
manolakosnik,1246802753759952899,False,Μανωλάκος Νικόλαος,Νίκος Μανωλάκος,False,False,True
MarkopoulosDimi,590082909,False,Μαρκόπουλος Δημήτριος,Markopoulos Dimitris,True,False,True
GeorgiaMartinou,546281641,False,Μαρτίνου Γεωργία,Georgia Martinou,True,False,False
OikonomouVasili,770226983657701377,False,Οικονόμου Βασίλειος,Oikonomou Vasilis,True,False,True
Vlachos_G,2613473180,False,Βλάχος Γεώργιος,ΓΕΩΡΓΙΟΣ ΒΛΑΧΟΣ,False,True,False
MakisVoridis,540179903,False,Βορίδης Μάκης,Makis Voridis,True,False,False
athbouras,2976349222,False,Μπούρας Αθανάσιος,Αθανάσιος Μπούρας,False,False,False
giorgoskotsiras,2445790562,False,Κώτσηρας Γεώργιος,Γιώργος Κώτσηρας,False,False,True
