Hotel City;Hotelname;Twitter Handle;Website;Facebook Handle
Acharavi;Hotel Matoula;;;
Acharavi;Hotel Acharavi Beach;;https://www.acharavibeach.com/;https://www.facebook.com/AcharaviBeachHotelCorfu/
Adelianos Kampos;Hotel Kathrin Beach;;https://kathrinbeach.com/;https://www.facebook.com/Kathrin-Beach-Hotel-102723908759397
Afandou;Aelia Resort;;;
Agia Pelagia;Hotel Alexander House;;http://www.alexanderhouse.gr/en/;https://www.facebook.com/alexanderhousehotel
Agios Gordios;Mayor La Grotta Verde Grand Resort;mayorlagrotta;https://www.mayorlagrottaverde.com/en/;https://www.facebook.com/MayorLaGrottaVerde/
Agios Petros;Mayor Capo Di Corfu;capodicorfu;https://www.mayorcapodicorfu.com/en/;https://www.facebook.com/MayorCapoDiCorfu
Amoudara;smartline Neptuno Beach;;http://www.zeushotels.gr/neptuno/;https://www.facebook.com/SmartlineNeptuno/
Amoudara;TUI MAGIC LIFE Candia Maris;CandiaMaris;http://www.candiamaris.gr/;https://www.facebook.com/CandiaMarisResort/?ref=search
Amoudara;Apollonia Beach Resort & Spa;ApolloniaHotel;https://www.apollonia.gr/;https://www.facebook.com/apollonia.gr/
Analipsi;Lyttos Beach Hotel;;https://www.lyttosbeach.gr/;https://www.facebook.com/lyttosbeach/
Analipsi;INSULA ALBA Resort & Spa;;http://www.insulaalba.com/;https://www.facebook.com/insulaalbaresortspa/
Analipsi;Stella Island Resort & Spa;;https://stellaisland.gr/;https://www.facebook.com/stella.island.hotel.suites.spa/
Anissaras;Hotel Anissa Beach & Village;AnissaBeachGR;https://anissabeach.com/;https://www.facebook.com/Anissa-Beach-Village-Hotel-1632483863680241/
Anissaras;Annabelle Beach Resort;;http://www.annabellebeachresort.gr/;https://www.facebook.com/annabellebeachresort/
Rhodos;Porto Angeli Beach Resort Hotel;portoangeli;https://www.portoangeli.com/;https://www.facebook.com/portoangeli
Bali;Hotel Bali Blue Bay;;https://www.balibluebay.com/;
Faliraki;Hotel Calypso Palace;;https://www.calypsopalace.gr/;
Faliraki;Blue Sea Beach Resort;;https://blueseahotel.gr/;https://www.facebook.com/BlueSeaHotel.gr
