id,screen_name,category
4b474a16f964a520382e26e3,Starbucks_Gr,Coffee Shop
4b4b19baf964a5204a9226e3,TGIFridaysGR,American Restaurant
4b659a3ff964a52006f62ae3,teloglion,Art Museum
4b6d4b66f964a520bf6f2ce3,Paradosiakonet,Snack Place
4b6de067f964a520f1972ce3,medpalace,Hotel
4b75da02f964a52068292ee3,fixnightclub,Nightclub
4b777af8f964a520219d2ee3,RhodesAirport,Airport
4b7c6ce4f964a52090922fe3,Goodyscom,Burger Joint
4b903c5af964a520137e33e3,EightballLiveSt,Rock Club
4b97cd79f964a520921635e3,IANOS_GR,Bookstore
4b9a1b06f964a520109f35e3,PAOK_FC,Soccer Stadium
4b9c45aaf964a520e15a36e3,MBP_Thess,History Museum
4b9e39a7f964a52024d336e3,HondosCenter,Department Store
4b9e3e76f964a5209ad436e3,ikea_gr,Furniture / Home Store
4b9efd7df964a520ba0e37e3,cafebalkan,Café
4ba4e3b8f964a52069bf38e3,MediaMarktGr,Electronics Store
4ba9dccff964a520223b3ae3,Nike,Sporting Goods Shop
4baa2b22f964a520f94f3ae3,marksandspencer,Clothing Store
4baa2b71f964a52019503ae3,hmhellas,Clothing Store
4baa6f14f964a520b8693ae3,Bershka,Clothing Store
4bab57daf964a520f8a13ae3,melimelocafebar,Café
4bbffa26b492d13a48bba360,santorinicars,Rental Car Location
4bc796c993bdeee1078a37ae,RodosPalace,Resort
4bc796d593bdeee10e8a37ae,Cactus_Rhodes,Hotel
4bc8749edc55eee10977e8ac,SantoriniVillas,Hotel
4bc874afdc55eee12777e8ac,SunRocksHotel,Hotel
4bc874b7dc55eee13277e8ac,notosthermespa,Hotel
4bc878c1dc55eee1a07be8ac,LePalace_hotel,Hotel
4bcf4cbd0ffdce728e5db2c0,ImperialThess,Hotel
4bcf78820ffdce72c584b2c0,HotelOlympiaSKG,Hotel
4bcf7ba90ffdce72c888b2c0,TheraMare,Hotel
4bcf7bb60ffdce72e388b2c0,sani_resort,Hotel
4bd099a61f89ce728fb867ea,PerivolasHotel,Hotel
4bd0aa27b221c9b60728d4d0,ElectraHotels,Hotel
4bd1a2e15e0cce72b9c1a184,HotelKriopigi,Hotel
4bd1a5d65e0cce72f2c6a184,EdenRocHotel,Hotel
4bd1a65acaff9521befed0f0,IntersportGR,Sporting Goods Shop
4bd1a6a65e0cce7259c8a184,Art_Maisons,Hotel
4bd1a6b75e0cce7280c8a184,ikieshotel,Hotel
4bd35f25a8b3a59379d5695f,OdeonTheater,Music Venue
4bd6d2bfcfa7b713761428da,mongo_asianfood,Asian Restaurant
4bd74974304fce72fc5033ab,AndronisGroup,Hotel
4bd7a1c2304fce7237c833ab,AquaVistaHotels,Hotel
4bd888b92ecdce7240ced0f2,Porto_Carras,Hotel
4bd88d922ecdce72d5d1d0f2,AegeanMelathron,Hotel
4bd9c935d2cbc928f0ded1ad,apollobeachsa,Hotel
4bdd427db0f5c9283e104ce3,OmilosBar,Bar
4bddb67effdec928f31be6a1,toixosalonica,Meze Restaurant
4bdf087a7ea362b53e4743c4,BlueDolphingr,Resort
4bed964c6e8c20a156987061,gnet_gr,Gaming Cafe
4beea1d83686c9b6d8b4246e,HaniotiVillage,Hotel
4bf4042f706e20a112d0a898,ArisCaves,Hotel
4bf7a147b182c9b6fd10765a,santo_wines,Winery
4bfbcdd5565f76b09cf905db,ManosHotel,Hotel
4bfc17ce1be376b0e427f8b4,aegeanairlines,Plane
4bfe8b2755539c74c7dfbcf3,CoverMarket,Coworking Space
4bfeadfe369476b0d9ab8c1f,THEMETHOTEL,Hotel
4c02d913310fc9b62f16c561,CanavesOia,Hotel
4c0631ec8f8fa59394e2f20d,Eurobank_Group,Bank
4c090694a1b32d7f36e596f0,Northday,Event Space
4c0935ef009a0f47b658e7bf,MyoxygenRodos,Gym / Fitness Center
4c0fa4747189c928905ddab6,NorthBasket,Office
4c1262c077cea5934ceacc60,Alpha_Bank,Bank
4c22554f9085d13ac42986cc,MoniLazariston,Cultural Center
4c25bd3f136d20a15727e461,MedRoyalHotel,Hotel
4c275e225c5ca5939e9f47fe,OuzouMelathron1,Ouzeri
4c2b3640197e9521fea9628d,ApagioFiscardo,Mediterranean Restaurant
4c387d65edba95217f17d625,bestwesternplaz,Hotel
4c42da60d7fad13addbc09da,giannikoshotel,Hotel
4c42f3b6cc410f479b7ead61,portovalitsa,Resort
4c442aff74ffc9282a2275cc,_FolliFollie,Jewelry Store
4c4432ef36d6a59335176aa8,DIESEL,Clothing Store
4c49703d3013a593a31bbbe2,DomaineSigalas,Winery
4c4d62fa9efabe9a3f806968,ChromataHotel,Hotel
4c4df3cef53d0f476db5cfa5,maffair,Salon / Barbershop
4c57caca7613b713394f91ea,ZARA,Clothing Store
4c5ab354d3aee21e943f6b55,Rodiamare,Beach
4c5c5e1d7735c9b633148c72,TassiaFiscardo,Greek Restaurant
4c651c7594160f47947e2e17,MojitoBeachBar1,Beach Bar
4c671112e75ac9282285f9da,Aquagrand,Hotel
4c6ce26e99b9236ac2d0e3c9,watchmouse,Tech Startup
4c7114c8df6b8cfa350eba4d,BakalisTaverna,Fish Taverna
4c78dde6bd346dcb9384f3ef,Vodafone_GR,Mobile Phone Shop
4c7fab64fb74236a2eb4fab9,AlexandraBeachT,Hotel
4c7fb16d2042b1f7c990c3ad,tsipouropower,Ouzeri
4c7fb90ef4cf9c748614a5a0,DominosGreece,Pizza Place
4c82308dd34ca14363512980,EKO_Greece,Gas Station
4c82aac451ada1cd7eeb1e10,AntigoniBeach,Hotel
4c8530b22f1c236a195f5243,Prigipos_,Kafenio
4c86544de602b1f712fdbe7a,PublicStores,Electronics Store
4c86a95e47cc224bbf8aab9f,sevenspot,Video Store
4c890ea9944e224be75f2185,Savvikos_1947,Grilled Meat Restaurant
4c8f95c858668cfa505ddbec,HolidayInn,Hotel
4c928d3af600236acdfebd32,SHARKGR,Bar
4c935c042bf7b60cd53d6a0a,offradio,Radio Station
4c94b8d0efecb7134c61e09d,elcthessaloniki,General College & University
4c9b3ffd292a6dcb9291d576,white_suites,Hotel
4c9f2da70313370458e06fd5,santorinigr,Island
4ca1a44c79d9b1f77616c199,ACTGreece,University
4caafd7314c337047251e63b,LindianApollo,Cocktail Bar
4cb06df71168a09368592a23,konstandinidis_,Dessert Shop
4cb7669e0011b713c2cee7b9,SportsBar_,Sports Bar
4cbacae04352a1cd191995f5,ThganiesSxares,Greek Restaurant
4cbc55dd7a5d9eb0cb5c31e9,sheratonrhodes,Hotel
4cbe10831c6c6dcbfdb1655e,galileo_gr,General College & University
4cc36747c844721e3c05e301,firahotels,Hotel
4cd26344158c5481a8d3aee4,DotsoftSA,Tech Startup
4cd41aeebaf2f04d9775b2a3,Dana_weddings,Hotel
4cd900d01891236ab929390b,nyc_gr,University
4cda5ac6a1bba35da02e8ee5,NovaGreece,Electronics Store
4cda6d2f6ad1a09395fde556,IekDelta,Trade School
4ce3762605f7a093ec9da028,COOCafeBar,Bar
4ce57c59023676eb370cebb9,KarenMillen,Women's Store
4cf4cc3ecfb08eec1fbbf2be,winbank_tweets,Bank
4d012bde1ebe6dcbe0c58b91,Napapijri,Clothing Store
4d09e97e86b0236ada8eb606,TommyHilfiger,Clothing Store
4d11c9d26360a35de59d8c88,NestorYannakis,Salon / Barbershop
4d1288dad0fda0933395ac57,ElGrecoHotel,Hotel
4d15dc9b6d1037044fba2cbd,HyattTweets,Hotel
4d1a114cb15cb1f74b66c721,madmacsgr,Electronics Store
4d1b75751683a14395917d51,Camper,Shoe Store
4d1fd68270ca60fcfb8c2c5e,artsoundgr,Music Store
4d20c26ae56f6ea87cb5771d,Nooon_Cafe,Café
4d2456cfc5f2a1cd775452cf,Petersportgr,Sporting Goods Shop
4d2b2fc6342d6dcb20b013cb,ABVassilopoulos,Supermarket
4d2daa3a762fa143bd477b64,Splash_sauna,Bath House
4d354fe5eefa8cfaf74a53b3,katerinazee,Design Studio
4d369c4a61a260fc1b24227b,SPGamingNet,Internet Cafe
