ID,Twitter,Category
"4b474a16f964a520382e26e3","starbucks_gr","Coffee Shop"
"4b474ac9f964a520472e26e3","starbucks_gr","Coffee Shop"
"4b4b19baf964a5204a9226e3","tgifridaysgr","American Restaurant"
"4b659a3ff964a52006f62ae3","teloglion","Art Museum"
"4b6d4b66f964a520bf6f2ce3","paradosiakonet","Snack Place"
"4b6de067f964a520f1972ce3","medpalace","Hotel"
"4b75da02f964a52068292ee3","fixnightclub","Nightclub"
"4b777af8f964a520219d2ee3","rhodesairport","Airport"
"4b7c6ce4f964a52090922fe3","goodyscom","Burger Joint"
"4b7eca15f964a52090ff2fe3","plaisiocomp","Electronics Store"
"4b8edcecf964a520803b33e3","goodyscom","Fast Food Restaurant"
"4b903c5af964a520137e33e3","eightballlivest","Rock Club"
"4b97cd79f964a520921635e3","ianos_gr","Bookstore"
"4b9a1b06f964a520109f35e3","paok_fc","Soccer Stadium"
"4b9c4414f964a520485a36e3","ianos_gr","Bookstore"
"4b9c45aaf964a520e15a36e3","mbp_thess","History Museum"
"4b9e39a7f964a52024d336e3","hondoscenter","Department Store"
"4b9e3e76f964a5209ad436e3","ikea_gr","Furniture / Home Store"
"4b9e5043f964a52036d936e3","plaisiocomp","Electronics Store"
"4b9efd7df964a520ba0e37e3","cafebalkan","Café"
"4ba4e3b8f964a52069bf38e3","mediamarktgr","Electronics Store"
"4ba756e5f964a5209f8c39e3","goodyscom","Burger Joint"
"4ba9dccff964a520223b3ae3","nike","Sporting Goods Shop"
"4baa2b22f964a520f94f3ae3","marksandspencer","Clothing Store"
"4baa2b71f964a52019503ae3","hmhellas","Clothing Store"
"4baa6f14f964a520b8693ae3","bershka","Clothing Store"
"4baa6f82f964a520e3693ae3","pull_and_bear","Clothing Store"
"4bab57daf964a520f8a13ae3","melimelocafebar","Café"
"4bb4c0f52ba29c74d331ef2d","zithosgre","Mediterranean Restaurant"
"4bb5f50bef159c74be3575f7","goodyscom","Burger Joint"
"4bba578953649c74b1ea48fb","zithosgre","Greek Restaurant"
"4bbb7ca99858d13a716833a2","goodyscom","Fast Food Restaurant"
